epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,244.508,2.82181,2.94525,7.50785,2.70052,0,0.52091,0.11854,0.09245,0.04404,0.52306,0.1188,0.09408,0.04389,2.13625,2.07498,6.75161,2.22789,0,0.000665602,0.000665602,0.0673855
2,465.661,1.82791,2.17293,5.29572,1.92975,0,0.50322,0.14369,0.13131,0.07242,0.49988,0.14412,0.13093,0.0715,1.82709,1.85367,6.66546,1.91532,0,0.00133212,0.00133212,0.0347187
3,681.892,1.59627,1.93297,4.55335,1.70275,0,0.6926,0.14821,0.17018,0.09733,0.69356,0.14887,0.172,0.09881,1.67077,1.63825,4.86718,1.76333,0,0.00199807,0.00199807,0.00205132
4,901.113,1.46975,1.83074,4.25061,1.5924,0,0.73125,0.18496,0.20104,0.12236,0.73139,0.18532,0.2014,0.11985,1.52677,1.57089,4.56596,1.64435,0,0.00199805,0.00199805,0.00199805
5,1119.51,1.36808,1.6846,3.79067,1.50096,0,0.36447,0.30747,0.25036,0.15779,0.36444,0.30793,0.25054,0.15766,1.43289,1.44443,4.73328,1.57615,0,0.00199653,0.00199653,0.00199653
6,1340.14,1.30869,1.62982,3.64728,1.45611,0,0.49037,0.30105,0.28462,0.18572,0.49635,0.30107,0.28701,0.17481,1.3625,1.52239,3.84204,1.50426,0,0.00199458,0.00199458,0.00199458
7,1559.42,1.2523,1.57379,3.4204,1.39968,0,0.53197,0.29675,0.31517,0.20016,0.53554,0.29692,0.32085,0.20243,1.34919,1.43474,3.88187,1.48094,0,0.00199219,0.00199219,0.00199219
8,1778.74,1.22521,1.53386,3.32542,1.37627,0,0.48221,0.31636,0.32645,0.21642,0.48175,0.31835,0.3275,0.21176,1.29322,1.37713,3.68336,1.43293,0,0.00198938,0.00198938,0.00198938
9,1996.08,1.17625,1.47719,3.18031,1.34356,0,0.66693,0.31124,0.35924,0.23902,0.66696,0.31151,0.36036,0.23554,1.29576,1.42328,3.38061,1.43532,0,0.00198614,0.00198614,0.00198614
10,2216.16,1.15071,1.45946,3.02071,1.31587,0,0.57719,0.37119,0.38562,0.25296,0.5781,0.37258,0.38784,0.25848,1.28278,1.42093,3.34611,1.42699,0,0.00198246,0.00198246,0.00198246
